Title	Creator	Date	Source	Subject	Description	Digital Collection	Web Site	Contributing Institution	Rights	Type	Format	Media Type	Identifier	Language	SC County	Digitization Specifications	Date Digital	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Summerville? Railroad depot	Cook, George LaGrange	1880 - 1895	Box 4; Temporary num. 94	Summerville (S.C.); Railroads--South Carolina	2 contact sheets; 20.5 x 12.5; One or two room depot beside tracks. A few people waiting in front. White wood fence behind. Horse and buggy on left. Two-story house with outbuildings behind tall pine trees.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29302	Still Image	image/jpeg	Images	scook093	English		1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-02		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/150	150	219.jp2	/scook/image/219.jp2
Miscellaneous - Confederate Water Building, Charleston Harbor	Cook, George S.	1861-04	Box 7; Accession no. 9909.1	Charleston (S.C.); Forts--South Carolina--Charleston	2 prints; 13.8 x 11	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29359	Still Image	image/jpeg	Images	scook147	English		1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-03		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/151	151	261.jp2	/scook/image/261.jp2
Charleston - Earthquake damage - Business - Roper Hospital, side view	Cook, George LaGrange	1880 - 1895	Box 2; Temporary num. 42	Charleston (S.C.); Charleston Earthquake, S.C., 1890; Business enterprises--South Carolina--Charleston--Photographs; Hospitals--South Carolina--Charleston	2 contact sheets, 1 print; 20 x 12.5; Cracks in building and broken windows. Taken from ground level.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29250	Still Image	image/jpeg	Images	scook041	English	Charleston County (S.C.)	1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-02		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/152	152	156.jp2	/scook/image/156.jp2
Miscellaneous - Portrait - Woman's portrait in profile - photo of photo	Cook, George LaGrange	1880 - 1895	Box 8; Temporary num. 131	Charleston (S.C.); Women--Pictorial works	5 contact sheets; 10 x 12.5; Copy negative of a woman from the shoulders up.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29339	Still Image	image/jpeg	Images	scook129	English		1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-03		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/153	153	263.jp2	/scook/image/263.jp2
Charleston - Church - Grace Episcopal Church - Pinnacled Spire. Test negative, f -stop (same as #25)	Cook, George LaGrange	1880 - 1895	Box 8; Temporary num. 28	Charleston (S.C.); Churches--South Carolina--Charleston--Photographs	2 contact sheets; 10 x 12.5; Test shots from rooftop. On paper glued to negative: Stanley Plate No. 35 Anthony single [illeg.] Exposure 1/2, 1, 1 1/2 secs. Pyro and Salsoda [Saleoda?] devel. Sep. 4 Pm '91. Smallest stop	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29236	Still Image	image/jpeg	Images	scook027	English	Charleston County (S.C.)	1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-03		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/154	154	238.jp2	/scook/image/238.jp2
Summerville? Residence - cottage.	Cook, George LaGrange	1880 - 1895	Box 8; Temporary num. 100	Summerville (S.C.)	2 contact sheets; 13 x 10.5; Small cottage enclosed by wooden fence and also obscured by trees. Only one chimney in the middle of the roof. Curving dirt path leads to gate. One and a half story clapboard building behind.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29308	Still Image	image/jpeg	Images	scook099	English		1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-03		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/155	155	299.jp2	/scook/image/299.jp2
Charleston - Residence - John Steinmeyer House, 108 Beaufain St.	Cook, George LaGrange	1880 - 1895	Box 4; Temporary num. 71	Charleston (S.C.); Dwellings--South Carolina--Charleston--Photographs	4 contact sheets, 4 prints; 20.5 x 12.5; Same as #70 but from further away.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29279	Still Image	image/jpeg	Images	scook070	English	Charleston County (S.C.)	1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-02		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/156	156	230.jp2	/scook/image/230.jp2
Charleston - Business - Roper Hospital (right section) Queen and Mazyck Sts. Facing Queen St.	Cook, George LaGrange	1880 - 1895	Box 1; Temporary num. 13	Business enterprises--South Carolina--Charleston--Photographs; Charleston (S.C.); Hospitals--South Carolina--Charleston	2 contact sheets, 1 print; 20.5 x 12.5; Partially destroyed tower (two-story with wooden eaves) is on far left. On right side at corner of building is a four-story tower. Each piazza arch frames a door or window.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29221	Still Image	image/jpeg	Images	scook013	English	Charleston County (S.C.)	1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-02		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/157	157	284.jp2	/scook/image/284.jp2
Charleston - Residence - 35 Coming St. Corner of Coming and Montagu Sts.	Cook, George LaGrange	1880 - 1895	Box 8; Temporary num. 53	Charleston (S.C.); Dwellings--South Carolina--Charleston--Photographs	4 contact sheets; 10 x 12.5; Smaller, darker close-up of #52.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29261	Still Image	image/jpeg	Images	scook052	English	Charleston County (S.C.)	1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-03		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/158	158	209.jp2	/scook/image/209.jp2
Charleston - Church - Enston Home Chapel, 900 King St.	Cook, George LaGrange	1880 - 1895	Box 8; Temporary num. 21	Charleston (S.C.); Churches--South Carolina--Charleston--Photographs	1 contact sheet; 10 x 12.5; Almost same as #19 and #20, but angled so that iron cross atop bell tower is visible.	George LaGrange Cook Photograph Collection	http://sc.edu/library/digital/collections/scook.html	University of South Carolina. South Caroliniana Library	Digital image copyright 2010, The University of South Carolina. All Rights Reserved. For more information, contact South Caroliniana Library, University of South Carolina, Columbia, SC 29229	Still Image	image/jpeg	Images	scook020	English	Charleston County (S.C.)	1200dpi, 24-bit depth, color, Epson Expression 10000 XL Scanner, Archival Master file is a TIFF	2010-03		2010-09-20	2010-09-20	http://digital.tcl.sc.edu:80/cdm/ref/collection/scook/id/159	159	202.jp2	/scook/image/202.jp2
